Wall time,Step,Value
1589716400.0417814,1382,0.5727163553237915
1589716818.9411144,2764,0.6212278604507446
1589717238.8276474,4146,0.639415442943573
1589717659.500236,5528,0.6520947217941284
1589718080.2078686,6910,0.6585305333137512
1589718501.3508723,8292,0.666131317615509
1589718922.2810166,9674,0.6742297410964966
1589719343.3585315,11056,0.6787766218185425
1589719764.1020064,12438,0.6854047179222107
1589720184.9281974,13820,0.6904605627059937
1589720605.9638195,15202,0.6946794390678406
1589721026.3874626,16584,0.6976428627967834
